Site,Col_company,Col_recruit,Col_detail,Col_url
Saramin,(주)무하유,데이터 분석 엔지니어 (3년 이상),"['서울 성동구', '경력 3~10년', '대졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53057770&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,(주)미리디,[미리디] 데이터 분석가 (Data Analyst),"['서울 구로구', '경력 3~7년', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53105169&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,(주)미리디,[미리디] 시니어 데이터 분석가 (Senior Data Analyst),"['서울 구로구', '경력 7~13년', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53028938&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,넷마블(주),게임 데이터 분석 담당자 모집,"['서울 구로구', '경력2년↑', '대졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53081760&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,(주)에버온,[전기차충전서비스기업 에버온] 데이터분석기획자 채용,"['서울 중구', '경력 2~10년', '초대졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53021021&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,콘센트릭스서비스코리아(유),[Catalyst] 분석 및 데이터 사업관련 영업전문가,"['서울 용산구', '경력10년↑', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52695496&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,바탕에비뉴(주),빅데이터 분석 사업관리자 PM 및 분석가 모집,"['서울 구로구', '경력 7~20년', '대졸↑', '정규직·계약직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53090448&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,(주)디셈버앤컴퍼니,핀트(fint) 데이터 분석,"['서울 강남구', '경력 6~12년', '대졸↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52772228&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,(주)그라비티,[그라비티] 데이터 분석 인원 경력 채용,"['서울 마포구', '경력3년↑', '학력무관', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53081393&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
Saramin,(주)베가스,[Begas] 2026 데이터분석 전문가 신입·경력 모집,"['서울 중구', '신입·경력', '석사↑', '정규직']",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53061501&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=e18087e7-5d02-46ef-a196-b0bae7cd7ca4
